Region;City;Sea;Rate Class 1;Rate Class 2;Rate Class 3;Rate Class 4;Rate Class 5;Rate Class 6;Score of Rates;RATE
Aegean;İzmir;1;33;47;7;10;3;0;497;82,83333333
Aegean;Manisa;0;0;35;12;41;12;0;370;61,66666667
Aegean;Aydın;1;0;29;12;41;18;0;352;58,66666667
Aegean;Denizli;0;5;11;32;37;16;0;356;59,33333333
Aegean;Muğla;1;15;46;23;8;8;0;452;75,33333333
Aegean;Uşak;0;0;17;17;50;17;0;337;56,16666667
Aegean;Kütahya;0;0;8;23;23;46;0;293;48,83333333
Aegean;Afyonkarahisar;0;0;6;22;33;39;0;295;49,16666667
Marmara;İstanbul;1;74;26;0;0;0;0;574;95,66666667
Marmara;Edirne;1;11;11;11;56;11;0;355;59,16666667
Marmara;Kırklareli;1;0;25;38;25;13;0;378;63
Marmara;Tekirdağ;1;0;36;55;9;0;0;427;71,16666667
Marmara;Kocaeli;1;17;67;8;8;0;0;493;82,16666667
Marmara;Sakarya;1;0;31;44;25;0;0;406;67,66666667
Marmara;Yalova;1;0;50;50;0;0;0;450;75
Marmara;Bursa;1;12;41;24;18;6;0;439;73,16666667
Marmara;Bilecik;0;0;25;25;38;13;0;365;60,83333333
Marmara;Balıkesir;1;0;35;25;30;10;0;385;64,16666667
Marmara;Çanakkale;1;17;25;42;17;0;0;446;74,33333333
Mediterranean;Antalya;1;16;37;32;11;5;0;452;75,33333333
Mediterranean;Mersin;1;8;38;15;31;8;0;407;67,83333333
Mediterranean;Adana;1;7;20;13;20;27;13;321;53,5
Mediterranean;Osmaniye;0;0;14;29;29;14;14;315;52,5
Mediterranean;Hatay;1;0;13;40;13;13;20;310;51,66666667
Mediterranean;Kahramanmaraş;0;0;18;9;27;27;18;279;46,5
Mediterranean;Isparta;0;0;8;38;31;23;0;331;55,16666667
Mediterranean;Burdur;0;0;18;18;36;27;0;324;54
Black Sea;Zonguldak;1;0;38;50;13;0;0;429;71,5
